costLow,dMPGLow,dMPG2Low,costHigh,dMPGHigh,dMPG2High
0,0.221774194,0.049183793,7.5,0.532619776,0.283683826
0,0.448154243,0.200842225,12,0.75868929,0.575609439
25.5,4.456535696,19.86071041,166.5,4.504391589,20.28954359
33,5.075469618,25.76039185,231,5.358718264,28.71586143
37.5,5.338175019,28.49611253,289.5,6.13226025,37.60461577
102,6.214758746,38.62322627,345,6.67912627,44.61072773
160.5,7.008453169,49.11841582,451.5,7.627570678,58.17983445
216,7.569566229,57.29833289,538.5,8.344459876,69.63001062
322.5,8.542719659,72.97805918,661.5,9.339116008,87.21908781
430.5,9.542877348,91.06650807,790.5,10.36137308,107.3580521
541.5,10.57078864,111.7415725,832.5,10.66670674,113.7786326
628.5,11.34774351,128.7712828,916.5,11.13026997,123.8829097
712.5,12.01957631,144.4702146,1092,12.12078972,146.9135434
751.5,12.29816345,151.2448243,1381.5,13.72870938,188.4774613
1003.5,13.91328143,193.5794001,1561.5,14.69929313,216.0692184
1300.5,15.89650155,252.6987615,1674,15.29847173,234.0432373
1480.5,17.10072102,292.4346593,1992,16.66766948,277.811206
1656,18.24432925,332.8555497,2098.5,17.11380756,292.8824092
1768.5,18.89384305,356.9773052,2389.5,18.30473055,335.0631606
2086.5,20.5765213,423.3932286,2520,18.81418661,353.9736177
2193,21.06214272,443.6138561,3148.5,21.03210375,442.3493881
2484,22.40970475,502.194867,3274.5,21.42842398,459.1773544
2614.5,22.96481775,527.3828541,3313.5,21.52647694,463.3892093
2841,23.47456338,551.0551259,3574.5,22.02169387,484.9550011
3049.5,23.83390069,568.0548219,3783,22.3707894,500.4522184
3595.5,24.5627796,603.3301417,4329,23.07889392,532.6353444
